2026-02-28 02:27:25 | USER=alan | ROLE=student | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:03:39 | USER=alan | ROLE=student | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:03:43 | USER=alan | ROLE=student | PATH=/student/assignments | DECISION=ALLOW | TRUST=100
2026-02-28 11:03:48 | USER=alan | ROLE=student | PATH=/student/notices | DECISION=ALLOW | TRUST=100
2026-02-28 11:03:53 | USER=alan | ROLE=student | PATH=/student/fees | DECISION=ALLOW | TRUST=100
2026-02-28 11:04:09 | USER=alan | ROLE=student | PATH=/logout | DECISION=DENY_RBAC | TRUST=85
2026-02-28 11:04:09 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=70
2026-02-28 11:04:09 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=55
2026-02-28 11:04:09 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=40
2026-02-28 11:04:09 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=25
2026-02-28 11:05:18 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:05:20 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:09:36 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:09:39 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:10:01 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:12:39 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:12:39 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:13:30 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:13:31 | USER=admin | ROLE=admin | PATH=/admin/users | DECISION=ALLOW | TRUST=100
2026-02-28 11:13:36 | USER=admin | ROLE=admin | PATH=/admin/users/delete/6 | DECISION=ALLOW | TRUST=100
2026-02-28 11:13:36 | USER=admin | ROLE=admin | PATH=/admin/users | DECISION=ALLOW | TRUST=100
2026-02-28 11:24:43 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:24:43 | USER=admin | ROLE=admin | PATH=/logout | DECISION=DENY_RBAC | TRUST=85
2026-02-28 11:24:43 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=70
2026-02-28 11:24:43 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=55
2026-02-28 11:24:43 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=40
2026-02-28 11:24:43 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=25
2026-02-28 11:25:14 | USER=alan | ROLE=student | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:25:27 | USER=alan | ROLE=student | PATH=/logout | DECISION=DENY_RBAC | TRUST=85
2026-02-28 11:25:27 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=70
2026-02-28 11:25:27 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=55
2026-02-28 11:25:27 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=40
2026-02-28 11:25:27 | USER=alan | ROLE=student | PATH=/restricted | DECISION=DENY_RBAC | TRUST=25
2026-02-28 11:29:27 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:30 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:32 | USER=admin | ROLE=admin | PATH=/admin/reset_trust/1 | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:32 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:33 | USER=admin | ROLE=admin | PATH=/admin/reset_trust/2 | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:33 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:38 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:41 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:29:52 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:30:32 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:31:43 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:31:45 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:35:39 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:35:42 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:35:49 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:35:49 | USER=admin | ROLE=admin | PATH=/favicon.ico | DECISION=DENY_RBAC | TRUST=85
2026-02-28 11:35:49 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=70
2026-02-28 11:35:49 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=55
2026-02-28 11:35:49 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=40
2026-02-28 11:35:49 | USER=admin | ROLE=admin | PATH=/restricted | DECISION=DENY_RBAC | TRUST=25
2026-02-28 11:39:23 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:57:52 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:57:53 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:03 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:05 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:06 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:08 | USER=admin | ROLE=admin | PATH=/admin/reset_trust/1 | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:08 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:10 | USER=admin | ROLE=admin | PATH=/admin/trust_management | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:12 | USER=admin | ROLE=admin | PATH=/dashboard | DECISION=ALLOW | TRUST=100
2026-02-28 11:58:17 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 12:01:08 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 12:01:09 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 12:01:22 | USER=admin | ROLE=admin | PATH=/admin/users/add | DECISION=ALLOW | TRUST=100
2026-02-28 12:01:23 | USER=admin | ROLE=admin | PATH=/admin/users | DECISION=ALLOW | TRUST=100
2026-02-28 12:01:30 | USER=admin | ROLE=admin | PATH=/admin/users/delete/7 | DECISION=ALLOW | TRUST=100
